CBRO-2021 (Brazil),Aves Argentinas
Hydropsalis whitelyi,Anthracothorax nigricollis
Hydropsalis anomala,Sephanoides sephaniodes
Hydropsalis candicans,Adelomyia melanogenys
Hydropsalis roraimae,Sappho sparganurus
Hydropsalis longirostris,Oreotrochilus estella
Hydropsalis maculicaudus,Oreotrochilus leucopleurus
Hydropsalis cayennensis,Oreotrochilus adela
Hydropsalis climacocerca,Eriocnemis glaucopoides
Hydropsalis torquata,Patagona gigas
Hydropsalis forcipata,Heliomaster squamosus
Nannochordeiles pusillus,Heliomaster furcifer
Podager nacunda,Microstilbon burmeisteri
Chordeiles minor,Calliphlox amethystina
Chordeiles gundlachii,Chlorostilbon lucidus
Chordeiles rupestris,Stephanoxis loddigesii
Chordeiles acutipennis,Thalurania furcata
Cypseloides cryptus,Thalurania glaucopis
Cypseloides niger,Eupetomena macroura
Cypseloides fumigatus,Chrysuronia versicolor
Cypseloides senex,Leucochloris albicollis
Streptoprocne phelpsi,Chionomesa lactea
Streptoprocne zonaris,Hylocharis chrysura
Streptoprocne biscutata,
Chaetura cinereiventris,
Chaetura spinicaudus,
Chaetura egregia,
Chaetura pelagica,
Chaetura chapmani,
Chaetura meridionalis,
Chaetura brachyura,
Aeronautes montivagus,
Tachornis squamata,
Panyptila cayennensis,
Topaza pella,
Topaza pyra,
Florisuga mellivora,
Florisuga fusca,
Ramphodon naevius,
Glaucis dohrnii,
Glaucis hirsutus,
Threnetes leucurus,
Threnetes niger,
Anopetia gounellei,
Phaethornis squalidus,
Phaethornis rupurumii,
Phaethornis maranhaoensis,
Phaethornis aethopygus,
Phaethornis idaliae,
Phaethornis nattereri,
Phaethornis griseogularis,
Phaethornis ruber,
Phaethornis subochraceus,
Phaethornis augusti,
Phaethornis pretrei,
Phaethornis eurynome,
Phaethornis hispidus,
Phaethornis philippii,
Phaethornis major,
Phaethornis bourcieri,
Phaethornis superciliosus,
Phaethornis malaris,
Phaethornis margarettae,
Doryfera johannae,
Augastes scutatus,
Augastes lumachella,
Colibri delphinae,
Colibri coruscans,
Colibri serrirostris,
Heliactin bilophus,
Heliothryx auritus,
Polytmus guainumbi,
Polytmus theresiae,
Avocettula recurvirostris,
Chrysolampis mosquitus,
Anthracothorax viridigula,
Anthracothorax nigricollis,
Discosura langsdorffi,
Discosura longicaudus,
Lophornis ornatus,
Lophornis gouldii,
Lophornis magnificus,
Lophornis cf. delattrei,
Lophornis chalybeus,
Lophornis pavoninus,
Heliodoxa xanthogonys,
Heliodoxa schreibersii,
Heliodoxa aurescens,
Heliodoxa rubricauda,
Heliomaster longirostris,
Heliomaster squamosus,
Heliomaster furcifer,
Calliphlox amethystina,
Chlorostilbon mellisugus,
Chlorostilbon lucidus,
Stephanoxis lalandi,
Stephanoxis loddigesii,
Campylopterus largipennis,
Campylopterus obscurus,
Campylopterus calcirupicola,
Campylopterus diamantinensis,
Campylopterus hyperythrus,
Campylopterus duidae,
Thalurania furcata,
Thalurania watertonii,
Thalurania glaucopis,
Eupetomena macroura,
Aphantochroa cirrochloris,
Thalaphorus chlorocercus,
Saucerottia viridigaster,
Chrysuronia versicolor,
Chrysuronia rondoniae,
Chrysuronia oenone,
Chrysuronia brevirostris,
Chrysuronia leucogaster,
Leucochloris albicollis,
Chionomesa fimbriata,
Chionomesa lactea,
Hylocharis sapphirina,
Hylocharis chrysura,
Elliotomyia chionogaster,
Chlorestes cyanus,
Chlorestes notata,
Opisthocomus hoazin,
Aramus guarauna,
Psophia napensis,
Psophia crepitans,
Psophia ochroptera,
Psophia leucoptera,
Psophia viridis,
Psophia dextralis,
Psophia interjecta,
Psophia obscura,
Crex crex,
Rallus longirostris,
Porphyrio martinica,
Porphyrio alleni,
Porphyrio flavirostris,
Anurolimnas castaneiceps,
Rufirallus viridis,
Laterallus fasciatus,
Laterallus flaviventer,
Laterallus melanophaius,
Laterallus exilis,
Laterallus jamaicensis,
Laterallus spilopterus,
Laterallus leucopyrrhus,
Laterallus xenopterus,
Coturnicops notatus,
Micropygia schomburgkii,
Mustelirallus albicollis,
Neocrex erythrops,
Pardirallus maculatus,
Pardirallus nigricans,
Pardirallus sanguinolentus,
Amaurolimnas concolor,
Aramides ypecaha,
Aramides mangle,
Aramides cajaneus,
Aramides calopterus,
Aramides saracura,
Porphyriops melanops,
Porzana carolina,
Paragallinula angulata,
Gallinula galeata,
Fulica rufifrons,
Fulica armillata,
Fulica leucoptera,
